bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mode
125,80,89,83,31,0,8,4,0
92,71,61,74,7,0,10,4,0
138,51,32,53,17,0,31,6,0
170,55,58,72,11,0,11,15,0
144,65,23,80,14,63,11,6,1
141,92,66,58,19,0,8,24,0
148,67,83,76,48,0,8,3,1
100,67,26,71,37,0,11,4,0
130,85,22,62,12,0,28,9,1
170,81,56,48,21,0,8,33,1
83,57,56,72,23,0,27,5,1
150,78,52,82,18,0,15,7,1
118,71,65,68,6,0,3,7,0
130,51,32,43,83,0,9,3,1
174,52,66,73,34,0,31,6,1
89,64,43,73,5,17,16,4,0
120,78,76,59,43,0,34,3,1
78,44,14,9,96,0,10,3,0
100,86,67,66,14,0,12,16,0
120,63,36,73,0,0,36,4,0
140,65,87,74,22,0,42,4,1
123,69,82,76,6,0,6,3,0
135,48,44,42,12,2,11,3,1
133,85,81,67,26,0,12,5,1
99,85,83,68,7,0,36,20,0
130,79,96,86,9,0,9,9,1
107,80,82,80,43,0,14,4,0
122,81,74,71,14,0,56,4,1
204,52,52,68,46,0,15,4,0
110,67,78,85,2,0,33,5,1
126,74,35,84,0,0,11,6,1
168,56,63,87,39,0,11,5,0
98,71,17,61,36,0,8,5,1
97,64,51,63,12,0,19,5,0
180,72,61,63,67,0,9,28,1
120,81,63,68,11,0,11,4,0
150,61,39,73,37,0,11,3,0
96,75,57,68,9,0,13,6,0
95,60,48,79,0,0,12,4,0
125,79,96,85,27,0,11,6,1
144,56,84,65,23,0,10,6,1
90,76,91,50,54,0,7,5,0
128,56,38,97,4,0,35,4,1
79,56,58,56,37,0,11,10,0
144,77,75,58,52,0,23,25,0
122,67,49,64,10,0,10,3,0
140,71,82,81,11,0,6,5,0
134,59,51,52,9,0,15,7,1
186,68,49,59,16,0,13,28,0
67,53,50,53,23,0,44,7,1
106,72,17,64,7,0,10,5,1
128,60,23,91,0,0,12,3,0
107,92,55,70,18,0,15,7,1
130,67,96,88,12,19,8,4,1
123,45,13,54,70,0,9,4,1
171,50,38,80,0,0,9,7,0
137,64,88,72,51,0,17,5,1
125,84,85,68,58,0,22,4,1
128,86,42,72,59,0,9,19,1
130,61,53,58,55,0,27,4,1
130,86,59,96,50,1,9,5,0
133,70,86,81,25,0,25,5,0
101,88,72,59,62,0,9,3,0
95,77,53,64,74,0,17,14,1
98,90,40,59,0,0,10,29,1
173,43,28,66,0,0,23,3,0
90,64,10,62,7,0,48,7,0
198,59,71,42,55,0,10,7,1
140,56,48,73,0,0,35,4,0
82,51,22,53,1,0,15,3,0
130,77,84,89,17,0,43,5,1
81,76,53,53,44,0,9,9,0
94,51,14,59,65,18,25,3,1
124,61,41,81,5,2,10,3,0
128,62,55,78,1,3,23,4,0
138,49,42,62,9,0,11,3,1
132,58,27,48,50,0,12,3,0
131,71,24,47,1,0,27,9,0
168,78,58,73,5,0,10,7,1
98,68,40,79,33,0,30,6,0
102,48,50,73,43,0,15,4,0
101,34,32,57,78,0,20,3,0
130,63,36,34,76,0,35,9,0
142,50,20,64,1,0,12,3,0
170,59,48,76,4,0,10,5,0
124,78,70,68,3,1,11,4,1
110,50,45,41,75,0,11,3,0
92,91,43,71,9,0,9,8,1
116,82,40,66,39,51,25,7,0
129,63,84,82,70,8,9,7,0
98,71,67,60,19,0,12,3,0
172,74,76,76,6,0,10,9,1
150,68,14,76,4,0,10,4,0
136,62,19,53,11,0,6,4,1
88,53,34,47,9,0,83,4,1
143,83,69,44,15,0,10,33,0
100,49,17,35,71,9,11,3,1
143,56,39,55,14,0,11,13,0
112,56,24,66,7,0,12,3,1
93,62,57,59,3,0,38,3,0
206,43,50,55,50,0,15,10,0
88,68,17,71,15,0,11,5,1
170,50,37,90,0,0,12,5,0
84,62,24,67,21,0,13,28,1
134,81,53,72,51,0,12,5,1
158,54,50,40,61,0,10,6,0
116,80,92,80,4,0,10,3,0
117,61,45,69,2,0,9,3,0
114,77,65,72,2,0,7,5,1
108,61,47,68,0,0,13,3,1
144,74,37,53,7,0,21,10,1
130,51,18,44,76,0,11,3,0
116,77,79,62,33,1,15,3,0
121,65,49,78,0,0,17,4,0
112,64,54,81,36,0,11,6,0
100,70,47,52,30,0,6,33,1
150,55,30,78,24,0,12,8,1
120,84,96,71,18,0,34,17,1
127,82,89,85,4,0,23,6,1
90,51,42,61,53,0,9,3,0
128,75,79,63,33,0,15,4,1
143,64,31,87,4,4,8,4,0
139,74,68,68,3,0,26,4,0
162,49,78,64,19,0,11,4,0
92,81,39,60,31,0,7,3,0
95,87,57,55,10,0,29,7,0
146,63,88,93,3,0,10,8,0
95,55,56,82,12,0,34,5,0
115,35,12,30,93,0,10,3,1
128,78,59,65,10,0,26,5,0
130,82,69,83,3,0,27,5,1
127,80,74,77,36,0,11,4,1
150,42,20,86,21,0,9,9,0
122,78,50,63,27,0,9,5,1
140,52,20,85,0,0,7,5,0
140,63,22,54,46,0,12,8,0
119,75,48,53,18,0,18,34,1
110,76,96,72,32,0,9,4,1
95,60,17,45,16,0,11,2,0
132,56,20,55,45,1,32,3,0
125,77,74,78,4,0,23,11,1
124,84,65,50,67,0,13,6,1
133,93,68,65,42,0,12,25,1
112,92,67,66,0,0,36,9,0
97,79,92,89,5,0,6,5,0
90,59,52,48,38,5,10,11,1
80,65,27,69,8,0,53,4,1
172,45,33,59,6,0,8,3,0
120,60,24,35,73,0,31,3,0
140,74,96,80,18,0,5,5,1
128,81,90,77,1,0,9,5,1
122,78,70,81,57,0,10,5,0
130,47,86,92,8,0,5,24,0
160,69,61,71,33,0,31,20,0
144,73,87,70,6,0,28,5,0
192,50,85,52,11,0,28,6,0
163,54,40,67,0,0,9,17,0
122,66,48,71,6,0,12,4,1
154,61,41,74,21,0,40,6,0
117,73,31,69,6,0,11,4,1
138,78,89,83,10,0,12,5,1
96,86,74,80,33,0,8,6,0
104,77,36,63,1,0,36,5,0
164,45,24,62,8,0,16,3,0
118,68,61,82,2,0,50,3,0
81,68,51,60,3,0,19,10,1
117,82,73,45,54,0,7,3,0
174,45,10,37,97,25,64,4,0
128,73,60,77,3,0,11,4,0
145,60,43,27,94,0,14,4,0
150,65,51,55,73,0,14,3,1
90,60,13,53,4,0,21,4,1
85,55,42,53,17,0,22,3,0
180,33,38,71,20,0,28,5,0
166,57,84,94,11,0,37,9,0
160,71,40,50,16,0,16,22,0
160,65,95,80,5,0,41,16,0
92,70,81,63,4,0,8,4,0
170,56,53,64,11,0,45,6,0
96,83,93,65,58,0,9,8,1
120,67,40,52,86,0,12,4,0
98,70,37,54,6,0,9,8,0
92,53,12,34,1,0,12,4,0
150,34,24,56,4,0,11,3,0
94,37,17,47,2,46,11,3,0
90,74,36,63,26,0,27,5,1
160,54,54,55,67,0,42,11,0
120,70,59,75,24,0,9,4,0
109,63,46,85,1,0,9,5,0
129,57,41,66,63,0,12,5,1
157,54,75,60,30,0,7,5,0
130,63,49,73,5,0,9,3,0
107,65,19,72,10,0,13,25,1
146,50,67,89,0,0,19,8,1
139,48,37,41,32,0,10,10,1
116,74,76,70,7,0,13,3,0
95,84,52,77,12,0,7,4,1
170,62,55,80,15,0,37,7,1
134,81,18,64,3,0,10,11,1
84,57,86,90,2,0,9,5,1
146,61,20,48,21,0,12,6,1
74,53,24,67,11,0,10,28,1
144,75,35,48,84,0,10,12,0
136,77,79,73,15,0,27,10,1
100,56,53,55,53,0,12,4,0
105,89,67,78,9,0,7,33,1
106,67,24,78,15,0,30,4,0
132,85,53,68,40,0,9,4,0
120,78,5,30,21,0,13,5,0
155,82,51,39,2,0,9,49,0
129,70,42,43,78,0,11,3,0
135,80,85,74,62,0,8,9,1
98,73,45,62,28,0,13,13,1
124,84,64,39,3,0,11,4,1
135,77,28,55,18,0,22,15,1
107,78,39,53,30,0,11,6,0
96,54,25,74,14,0,9,11,0
123,71,58,70,30,0,32,19,0
